,,label,message
train,393,1,Sasa ile ela fanya urushe kwa hii namba 0788 889 999 usajili WARID MWITA
train,394,0,Kwani nyie mnaka mtaa gani
train,395,1,Mwenye nyumba Makongo ela kwa muhula huu tuma kwa hii namba 0733 900 000 usajili NZOYA MARWA
train,396,0,Atakuwa anahitaji kazi atanambia
train,397,1,Mimi ndugu yako wa Mara simu imeharibika tuma kwa hii namba ile hela 07267 99 99 usajili HURUMA IMANI
train,398,0,Leo ni maadhimisho ya wafanyakazi duaniani
train,399,1,Tuma ile hela namba yangu ni 0788 544 66 usajili said salim
test,0,0,kesho nafanya mahafali yangu
test,1,1,Usisahau kutuma ilehela kwa namba hii  ya tigo 0715480789
test,2,0,usiku mwema rafiki yangu
test,3,1,Ile  hela nitumie kwa namba yangu mpya hii 0712 123 234 Ambwene Nyota
test,4,0,leo nimekumbuka kukutafuta
test,5,1,Ile hela tuma kwa namba hii 0712 200 300 Ally Juma
test,6,0,Repoti utatuma lini ?
test,7,1,Tuma kwa namba hii ya tigo 0712 452 24 Kassim Athuman
test,8,0,Usisahau unahitajika ofisini
test,9,1,Sasa nitumie ile hela kwa namba 0755 211 879 mimi ni Amina Hasani
test,10,0,Naomba unitumie kile kitabu cha mwalimu
test,11,1,Nimebadilisha namba tuma kwa namba hii mpya 0712 345   234
test,12,0,Leo utaenda wapi kijana
test,13,1,Nyumbani kuna dharura fanya haraka kutuma kwa namba hii 0718 299 24
test,14,0,Kuna mtu kaniazima chaji mpaka badae
test,15,1,Jana ulikosea kutuma hela fanya haraka kutuma kwa hii ya voda 065123098
test,16,0,Nitachelewa kuludi
test,17,1,Jana ulikosea kutuma hela fanya haraka kutuma kwa hii ya voda 0718200897
test,18,0,Nishikie siti ya mbele ya mwalimu
test,19,1,Tuna shida ya ada ya mdogo wako tuma kwa namba hii 0718 234 567 Haruna  Magoli
test,20,0,Usinunue maji nimeshanunua
test,21,1,Tuna shida ya muhimu sana huku nyumbani tuma kupitia namba hii 0712 353 098
test,22,0,Mwalimu anachukua mahudhurio darasani
test,23,1,Mdogo wako anahitaji hela ya matumizi shuleni tuma kwa namba hii 0712 345 876
test,24,0,Malimu ameshaingia darasani
test,25,1,Dada yako anahitaji hela kwa ajili ya mtoto wake umtumie kwa namba hii 0718 678 45
test,26,0,Nikipanda gari za kimara nishuke wapi
test,27,1,Mama yako anahitaji hela tuma kwa namba hii 075532124 Charles Nzota
test,28,0,uko wapi kijana ?
test,29,1,Kuna hela inahitajika nyumbani kwa ajili ya ujenzi tuma kwa namba hii 0767200231
test,30,0,Nimeshakutumia ratiba utanamia kama hujaiona 
test,31,1,Usisahau kutuma nyumbani hela ya ujenzi kwa namba hii 0712 345 234
test,32,0,Njoo kwenye vimbweta si tulikubaliana 
test,33,1,Ile hela ya mchango wa harusi tuma kwa namba hii ya kiongozi 078612312
test,34,0,Tafadhari nipigie
test,35,1,Mdogo wako anahitaji hela ya matumizi chuoni  tuma kwa namba hii 0712 345 200
test,36,0,Samahani nani wewe
test,37,0,Usisahau kutuma hela kwa namba hii 072 345 786 usajili ni Jacob Nziku
test,38,0,Kwani amekwambia ni kiasi gani?
test,39,1,Nimeishiwa hela kabisa ya matumizi nitumie kwa namba hii 0718  200 24
test,40,0,Mambo vip kijana
test,41,1,Simu yangu imepotea ile hela tuma kwa namba yangu mpya 067 299 212 ALLY ALLY
test,42,0,We si uko na mafundi shida nini mzee
test,43,1,Dada yako anahitaji hela kwa ajili ya safari mtumie yake   hii 0718 000 678
test,44,0,Angalia majina ya wenzako kwenye group
test,45,1,Kuna dharura huku nyumbani fanya haraka utume kwa namba hii 078 234 098
test,46,0,Ila swali lazima lina majibu maana jamaa ametupa hadi kitabu chake
test,47,1,Ile hela usisahau kutuma kwa namba hii namba ya usajili ni 0721 234 345
test,48,0,Mie simesahau kubeba chaji yako
test,49,1,Mdogo wako anahitaji hela ya tutition tuma kwa namba hii 067 789 234
test,50,0,Bado swali lenyewe sina nawasubili wadau wafike
test,51,1,Hela inahitajika nyumbani kuna mgonjwa 
test,52,0,Umeanza kufanya kazi ya mwalimu
test,53,1,Tumia hii namba kutuma hiyo pesa 0782 2334 098 usajili IBRAHIM SEIF
test,54,0,Basi mimi nitaondoka muda si mrefu
test,55,1,Ile hela itume kwa namba hii 0756 200 345 simu yangu inasumbua haiwaki
test,56,0,Ninyi kama mnabaki mimi natangulia 
test,57,1,Ile hela itume kwa namba hii 0756 987 345 jina litakuja DEBORA ELIA
test,58,0,Leo naondoka mapema
test,59,1,Makosa jana ya kutuma hela kwa mpesa  tuma kwa namba hii 0789 234 098
test,60,0,Tangulia mzee nitakukuta pale kituoni
test,61,1,Niliibiwa simu nimesajili laini mpya ile hela nitumie kwa namba hii 078 234 123
test,62,0,Fanya maamuzi mapema maana leo tunawahi kuondoka 
test,63,1,Namba yangu mupya ya simu nitumie ile hela kwa namba hii 078 123 567
test,64,0,Mijengo nitaunga cha usiku 
test,65,1,Mjomba wako anahitaji hela tuma kwa namba hii 067 242 098
test,66,0,Unaenda kanisani ?
test,67,1,Ile hela itume kwa namba hii 0712 342 987 jina linakuja Hamisa Mzee
test,68,0,Mbona hujatuma ile kazi ?
test,69,1,Nimekusubili tangia asubuhi mbona hutumi hela tuma kwa namba hii 07824 265 22
test,70,0,Labda nikipata nitakupa zawadi siku nyingine
test,71,1,Kuna mmatapeli  usitume hela kwa namba nyingine namba yangu ni hii 0712 345 876
test,72,0,Mi hali yangu sio nzuri
test,73,1,Nimesajili laini mpya ile hela tuma kwa namba hii 0781 242 345 Omary Jason
test,74,0,Mi nikajua mtanifanyia sherehe
test,75,1,Nimeibiwa simu ile hela tuma kwa namba hii 0782 345 677
test,76,0,Nimekimbia wasije nimwagia maji
test,77,1,Mbona bado hujanitumia ile hela 0712 564 876 Naftali Mpawa
test,78,0,Ikipatikana uhakika wa kuishi upo mama
test,79,1,Ile hela nitumie kwa namba hii 078 122 098 Kanzi Nyagwa
test,80,0,Ndo nisome kwanza nione kama kitu kinaweza kufanyika
test,81,1,Niko hapa kwa wakala tuma kwa namba hii 0712 35445
test,82,0,Yule mzee ukimwelesha atakuelewa
test,83,1,Ile laini nimepoteza nimesajili laini mpya tuma kwa namba hii 067 24 9872
test,84,0,Unakuja saa ngapi chuo ?
test,85,1,Ile hela tuma kwa namba hii 0755 422 542
test,86,0,Hiyo kazi tutafanya kesho lakini
test,87,1,Ile hela tuma kwa  namba hii 0782 124 21
test,88,0,Nimeuliza baadhi ya wataalamu lakini hawako dar
test,89,1,Tuma kwa namba hii ya michango ya kikundi 0712 242 244 Imelda  Sanga
test,90,0,Kwanza hata laki ni ndogo sanaa
test,91,1,Usichelewe kutuma hela ya msiba kwa namba hii 078 123 456
test,92,0,Yaani nisingeuliza ningefeli ujue
test,93,1,Leo usikose kutuma hela ya deni langu  kwa namba hii 0672 123 987
test,94,0,Jamani mbona una utani na mimi gari nimepata wapi  ?
test,95,1,Nakumushia kodi ya nyumba itumwe kwa namba hii 078 234 654
test,96,0,Hamna shida rafiki yangu
test,97,0,Ahadi yangu ya kufaulu mitihani ntume kwa namba hii 0712 67 234
test,98,0,Kwa madili uliyo nayo ushatoka kimaisha
test,99,1,Fanya  haraka kunituia hela kwa namba hii  0712 4 6768
test,100,0,Najua wewe ni tajiri ukipata  kazi usinisahau
test,101,1,Kodi ya mwezi huu nitumie kwa namba hii 078 123 422
test,102,0,Sina kitu nimetumia yote yaani
test,103,1,Jana ulishau kutuma hela fanya tuma kwa namba hii 078 242 239 Hasan Mussa
test,104,0,Nimefuria rafiki yangu
test,105,1,Mimi mwenye nyumba namba ya kutuma hela ni hii 0712 45 098
test,106,0,Nasubili keki yangu
test,107,1,Ile hela itumwe kwa namba hii 0782 233 456
test,108,0,Hapana nitarudi badae
test,109,1,Sina simu hela nitumie kwa namba hii 0782 344 788
test,110,0,Hapana nilienda kula keki tu 
test,111,1,Niazimie hela ntumie kwa namaba 0734 458 844
test,112,0,Nikajua hali imebadilika ndo umeludi nyumbai
test,113,1,Mbona hujatuma ile  hela tuma kwa namba hii 0783 897 838
test,114,0,Nilienda kusalimia tu nyumbani
test,115,1,Ile hela usisahau kurusha kwa namaba hii 0712  343 233
test,116,0,Jioni nitakuja
test,117,1,Nitumie ile hela kwa namaba hii 0717 344272y TITO MENARD
test,118,0,Mbona hupokei simu
test,119,1,Nisaidie kutuma hela kwa namba yangu hii 0788 200 455
test,120,0,Kwani darsani kuna umeme?
test,121,1,Hela ya kulindia mifugo ntumie kwa namba hii 0781 673 
test,122,0,Usisahau nilichokwambia
test,123,1,Ile hela nifanyie kwa hii namba 0788 243 889
test,124,0,Wamesemaje leo darasani ?
test,125,1,Jana hukutuma hela jitahili leo utume kwa hii namba 0781 347 737
test,126,0,Umekata simu wakati unapita nimekuona
test,127,1,Kijana hela ya usafi wa mazingira ni zmu yako tuma kwa 0782 772 767 MOE JOHN
test,128,0,Nitumie sms niko darasani
test,129,1,Hela ya vyombo inahitajika tuma kwa hii namba 0788 243 288
test,130,0,Bado uko darasani ?
test,131,1,Nirushie ile hela kwa hii ya tigo pesa 0717  200 448
test,132,0,Ile kazi nimeshamtumia mwalimu
test,133,1,Leo usisahau kurusha ile hela namba 0788 211 333 usajili Keneth Vumu
test,134,0,Sasa kesho nitaelezea nini ?
test,135,1,Natumani umeamka salama ile hela tuma kwa namba hii 078 1244 898
test,136,1,Hela ya mikorosho inahitajika tuma kwa mpesa 0753 234 444
test,137,1,Hela inahitaji nyumbani tuma kwa hii namba 0718 200 345
test,138,0,Mshiriki no 5 ni kula marunda
test,139,1,Fanya haraka kunitumia ile pesa  kwa hii namba 0782 337 383
test,140,0,Wahi nafasi yako kijana
test,141,1,Mimi ndugu  yako nilikuja mwaka jana nisaidie hela kwa namba hii 0783 488 338
test,142,0,Mikorosho ipo tu lakini bonanza ni letu pia
test,143,1,Shangazi yako hapa nitumie kwa namba hii 0782 112 987 ALLU MALACHI
test,144,0,Mikorosho umehesabu au ndo unamwogopa chui
test,145,1,Dadako anahitaji hela ya matumizi tuma kwa hii namba 0788 111 111
test,146,0,Nafikiri mmesikia tangazo vizuri mnajijua 
test,147,1,Jana ultuma hela ndogo tuma tuma kwa hyoya 0788 47 8 383
test,148,0,Leo  kuna kipindi ?
test,149,1,Mchango wa kikundi tuma kwa namba hii 0782 453 748
test,150,0,Nisaidie kujibu hayo maswali basi 
test,151,1,nyumbani wanakusubili wewe tuma  hela kwa namba hii 0763 244 875
test,152,0,Hiki ni nini ?
test,153,1,Namba hii ya voda  ndo nitumie hela 0756 346 322
test,154,0,Watu wa elimu tuko darasani 
test,155,1,Vibarua wanasubili hela fanya nitumie kwa namba hii 0781 234 46
test,156,0,Mimi taarifa hata angetoa Kimaro ningeamini
test,157,1,Usiniangushe na leo nitumie hela yote kwa namba hii 0789 244 345
test,158,0,Chukua maji hapo  nalipa mimi
test,159,1,Vijana wanahitaji hela ya mizigo tuma kwa namba hii 0673 123 875
test,160,0,Jamani kipindi hakitakuwepo leo itabidi tutafute muda wa kukifanya
test,161,1,Nakutegemea leo hutochelewa kunitumia kwa namba hii 0754 234 784
test,162,0,Sawa kiongozi taarifa zimetufikia
test,163,1,Leo usisahau kutuma hela kwa namba hii 0671 234 454 Subira Dameki
test,164,0,Hivi ile kazi inakusanywa lini ?
test,165,1,Nategemea leo unanitumia ile hela kwa namba hii 0671 234 098
test,166,0,Jamani aliyefanikiwa kufanya kazi ya Mwalimu
test,167,1,Lile deni  lililobaki utaniyumia kwa hii namba 0712 243 222 
test,168,0,Mvua inanyesha huku mkuu
test,169,1,Nitumie ile hela kwa namba hii 0786 123 876 inahitajika kesho
test,170,0,Ivi kiongozi ushapewa mwongozo wa darasa la leo ?
test,171,1,Siwezi kukupata fanya  ile hela nitumie kwa hii namba 067 123 0982
test,172,0,Kama hauna bima nenda ofisini ya wanafunzi
test,173,1,Namba yangu mpya ya tigo ni 0712 234 098 ile hela tuma humu
test,174,0,Hakutokuwa na kipindi leo
test,175,1,Ile hela tuma kwa namba hii 0712 633 667 Moses Amidi
test,176,1,Vijana fanyeni michango huku mambo ni mengi
test,177,1,Tuma hela ya usafi kwa namba hii 0789 234 987 Charles Mwita
test,178,0,Utakuwa labda sio mwanafunzi wa ISM
test,179,1,Mimi ndugu  yako wa kaka yako nitummie hela kwa namba 0788 908 986
test,180,0,Kijana una matatizo wewe
test,181,1,Kijiji huku hatuna hela tuma kwa namba hii 0718 365 907
test,182,0,Mi nadhani tutumie makundi ya mwalimu
test,183,1,Ulikosea kutumahelatuam kwa namba hii mpya 0718 243098
test,184,0,Kazi hii ni nyepese itaisha leo 
test,185,1,Unadaiwa hela ya maji fanya kutuma kwa namba hii 078 123 987 PILLI MIKAEL
test,186,0,Mungu aendelee kukudumisha
test,187,0,Uludi  mapema chuo kijana
test,188,1,Hujaacha hela ya matumizi fanya kutuma kwa namba hii 078 123 098
test,189,0,Naona umetumia fulsa hapa hapa
test,190,1,Tuma kwa namba hii ya tigo 0712 675 098
test,191,0,Si ulkuwepo kwenye kipindi
test,192,1,Zamu ya luku ni wewe fanya mapema kutuma hela kwa namba 078 127 890
test,193,0,Naoan unatupahistoria kwa ufupi mama
test,194,1,Hela ya umeme fanya utume kwa namba hii 067 236 767 OPPI NZILANO
test,195,1,Makongo  leo hakuna matope
test,196,0,Laini ya simu nimepoteza nimesajili namba mpya ile hela tumwa kwa 078 674 234
test,197,1,Kazi ya mwalimu jumatatu inakusanywa
